Articolo,DESCRIZIONE,Prezzo,Stato ProFAR. DOTto
0616/6.01,ROSONE LINEARE X 6 TULIPANO,  276.00 ,3
0616/6.02,ROSONE LINEARE X 6 TULIPANO,  276.00 ,3
0715/48.01,ROSONE TONDO C/ALIM. TRACK 48V,  235.00 ,3
0715/48.02,ROSONE TONDO C/ALIM. TRACK 48V,  235.00 ,3
0716/48.01,ROSONE LIN. C/ALIM. TRACK 48V,  110.00 ,3
0716/48.02,ROSONE LIN. C/ALIM. TRACK 48V,  110.00 ,3
0716/48/2.01,ROS. LIN. C/ALIM. 2 TRACK 48V,  110.00 ,1
0716/48/2.02,ROS. LIN. C/ALIM. 2 TRACK 48V,  110.00 ,1
0717/DIM100,ALIM. DIMMERABILE 24V 100W,  115.00 ,3
0717/DIM150,ALIM. DIMMERABILE 24V 150W,  135.00 ,3
0717/DIM60,ALIM. DIMM. 24V 60W PUSH DALI,  85.00 ,3
0717/DIM60/V,ALIM. DIMM. 24V 60W  1...10V,  72.00 ,3
0726/DIM,DIMM. T/FASE IGBT-TRIAC 24V 20W,  78.00 ,3
0727/DIM150,DIMM.T/FASE IGBT-TRIAC 24V 150W,  184.00 ,1
0727/DIM30,DIMM.T/FASE IGBT-TRIAC 24V 30W,  50.00 ,1
0727/DIM50,DIMM.T/FASE IGBT-TRIAC 24V 50W,  70.00 ,1
0727/DIM75,DIMM.T/FASE IGBT-TRIAC 24V 75W,  129.00 ,1
0729/DMX,CONVERTER DI SEGNALE DMX-PWM,  135.00 ,3
0732/DALI,MULTIPOWER DIMM DALI,  58.00 ,3
0733/DIM,DIMMER TAGLIO DI FASE 350mA,  30.00 ,3
0734/DIM,DIMMER TAGLIO DI FASE 500mA,  30.00 ,3
0845/100,SCHERMO METACRILATO 100 CM,  9.00 ,3
0845/200,SCHERMO METACRILATO 200 CM,  17.00 ,3
0845/300,SCHERMO METACRILATO 300 CM,  26.00 ,3
0884/1025,ALIMENTATORE AL 1025,  24.00 ,3
0884/1050,ALIM. AL 1050 X NEWTON 4562,  26.00 ,3
0884/2024,ALIM. EA2024 20W 24V,  26.00 ,3
0884/3024,ALIM. AL3024 30W 24V,  36.00 ,3
0884/6024/LC60,ALIM. 87500669 LC 60W 24V,  50.00 ,3
0923.01,INCASSO X MARTE,  43.00 ,3
0939.01,2 TESTATE CHIUSURA RAIL INCAS.,  10.00 ,3
0941.01/W,RAIL ANGOLO 90° C/ALIM. 4000K,  165.00 ,3
0941.01/WW,RAIL ANGOLO 90° C/ALIM. 3000K,  165.00 ,3
0941.01/XW,RAIL ANGOLO 90° C/ALIM. 2700K,  165.00 ,3
0942.01/W,RAIL GIUNTO T C/ALIM. 4000K,  160.00 ,3
0942.01/WW,RAIL GIUNTO T C/ALIM. 3000K,  160.00 ,3
